	ROC_12_25
0.000158945	0.552000
0.000160854	0.553000
0.000161332	0.554000
0.000161809	0.555000
0.000162286	0.556000
0.000163718	0.558000
0.000164673	0.561000
0.000168969	0.567000
0.000169446	0.571000
0.000170401	0.579000
0.000170878	0.581000
0.00017231	0.585000
0.000173265	0.586000
0.000173742	0.589000
0.000175174	0.596000
0.000176128	0.597000
0.000178038	0.598000
0.000178515	0.599000
0.000179947	0.601000
0.000182811	0.602000
0.000183288	0.604000
0.00018472	0.607000
0.000186152	0.608000
0.000187107	0.611000
0.000187584	0.612000
0.000188061	0.616000
0.000189016	0.617000
0.000192357	0.622000
0.000192834	0.626000
0.000193789	0.627000
0.000194266	0.628000
0.000195221	0.630000
0.000195698	0.632000
0.000197608	0.634000
0.000199039	0.637000
0.000199517	0.638000
0.000200471	0.639000
0.000201426	0.640000
0.000203335	0.641000
0.00020429	0.645000
0.000204767	0.646000
0.000205245	0.648000
0.000207154	0.649000
0.000209063	0.650000
0.000214791	0.651000
0.000215745	0.661000
0.000217655	0.662000
0.000218609	0.663000
0.000219564	0.664000
0.000220041	0.665000
0.000221473	0.666000
0.000222428	0.667000
0.000224814	0.668000
0.000225292	0.669000
0.000225769	0.670000
0.000228633	0.671000
0.000230542	0.672000
0.000231019	0.675000
0.000232929	0.676000
0.000234361	0.678000
0.000235315	0.679000
0.000238656	0.680000
0.000240566	0.681000
0.000241043	0.690000
0.000244861	0.692000
0.000247248	0.694000
0.000251067	0.695000
0.000253453	0.702000
0.00025393	0.704000
0.000258226	0.706000
0.000258704	0.708000
0.000259181	0.711000
0.000259658	0.712000
0.000262999	0.715000
0.000266818	0.718000
0.000267295	0.720000
0.000271114	0.722000
0.000273023	0.725000
0.000274932	0.727000
0.000276364	0.728000
0.000278273	0.729000
0.000279705	0.730000
0.000280183	0.733000
0.000284478	0.734000
0.000284956	0.737000
0.00028591	0.738000
0.00029307	0.739000
0.000294979	0.741000
0.000296411	0.742000
0.000297366	0.743000
0.00030023	0.747000
0.000300707	0.748000
0.000302139	0.750000
0.000303571	0.751000
0.000305003	0.753000
0.000305958	0.754000
0.000307389	0.755000
0.000314072	0.764000
0.000314549	0.765000
0.000315981	0.766000
0.000316458	0.769000
0.000316936	0.771000
0.000318368	0.772000
0.000319322	0.774000
0.000322663	0.776000
0.000323618	0.777000
0.000324095	0.778000
0.000325527	0.791000
0.000328391	0.793000
0.000332687	0.796000
0.000333642	0.797000
0.000335551	0.798000
0.000338892	0.801000
0.000344143	0.802000
0.000346529	0.804000
0.000351302	0.806000
0.000352257	0.808000
0.000352734	0.809000
0.000354166	0.812000
0.000355598	0.814000
0.000358462	0.815000
0.000365144	0.819000
0.00036944	0.820000
0.000371349	0.822000
0.000371827	0.823000
0.000375168	0.824000
0.000375645	0.826000
0.000379464	0.831000
0.000384714	0.832000
0.000389487	0.833000
0.000390919	0.834000
0.000392351	0.836000
0.000393306	0.839000
0.000396647	0.840000
0.000399511	0.843000
0.000399988	0.846000
0.000406671	0.847000
0.000410489	0.848000
0.000413353	0.852000
0.000414308	0.853000
0.000417649	0.854000
